t,x,y,p
111,56,663,1
126,348,507,1
397,101,617,1
691,640,244,1
841,56,663,0
857,631,104,1
966,768,83,1
1140,858,390,1
1140,858,390,1
1281,718,71,1
1499,42,529,1
1771,862,332,1
1793,534,138,1
2610,56,663,1
2722,688,571,1
2722,688,571,1
2764,534,138,0
2788,269,496,1
2939,269,497,1
2947,29,418,1
2965,591,272,0
2980,534,138,1
3231,56,663,0
3332,759,68,1
3380,635,115,1
3673,270,496,1
4226,56,663,1
4482,534,138,0
4702,794,418,1
4743,591,272,1
5291,267,496,1
5498,270,496,1
5509,269,495,1
5576,270,497,1
5748,269,496,1
5864,144,173,1
5899,676,245,1
6303,443,202,1
6390,268,495,1
6477,708,396,1
6515,266,494,1
6557,268,497,1
6817,268,491,1
6827,267,492,1
6881,267,491,1
7068,268,496,1
7240,270,495,1
7257,270,498,1
7395,1046,111,1
7395,1046,111,1
7454,269,498,1
7538,271,496,1
7548,756,515,1
7548,756,515,1
7548,756,515,1
7565,268,494,1
8164,267,494,1
8348,299,50,1
8348,299,50,1
8529,271,497,1
8719,510,73,1
8899,269,500,1
9003,267,495,1
9070,267,496,1
9133,511,640,0
9188,1007,224,1
9215,265,499,1
9220,511,640,1
9346,480,23,1
9367,270,491,1
9406,271,500,1
9444,265,495,1
9475,270,497,1
9600,491,43,1
9613,574,236,1
9613,574,236,1
9737,676,504,1
9799,269,497,1
9800,267,498,1
9836,271,494,1
10024,758,393,1
10049,1116,267,1
10072,269,495,1
10196,272,496,1
10265,343,509,1
10372,270,489,1
10475,1207,39,1
10476,1207,39,1
10511,266,495,1
10591,271,495,1
10673,303,55,1
10673,303,55,1
10814,1238,531,1
10859,339,620,0
10964,237,283,1
11145,787,543,1
11145,787,543,1
11297,953,180,0
11391,269,496,1
11447,320,222,1
11507,965,700,0
11604,379,719,1
11703,583,639,1
11841,269,494,1
11844,529,561,1
11899,354,192,1
12094,144,172,1
12305,266,498,1
12537,269,501,1
12656,270,500,1
12724,433,298,1
12866,270,496,0
12887,875,394,1
12924,965,700,1
13186,922,545,1
13236,269,495,0
13257,761,189,1
13341,270,501,1
13418,1105,537,1
13457,920,77,1
13457,920,77,1
13472,268,500,1
13500,825,56,1
13505,631,316,1
13523,107,589,1
13623,655,64,1
13644,229,155,1
13655,1112,608,1
13655,1112,608,1
13656,118,203,1
13656,118,203,1
13766,390,233,1
13909,266,493,1
14069,856,154,1
14096,49,305,1
14163,696,78,1
14182,920,691,1
14189,298,664,1
14190,298,664,1
14256,1096,70,1
14368,1021,317,1
14368,1021,317,1
14383,268,501,1
14414,271,491,1
14483,269,496,0
14551,771,257,1
14579,271,501,1
14763,418,675,1
14768,267,501,1
14771,272,499,1
14839,16,645,1
14852,273,499,1
14877,1271,519,1
14877,1271,519,1
14884,1158,206,1
14887,748,86,1
14888,265,493,1
14952,1233,429,1
14953,1233,429,1
15182,275,497,1
15398,797,118,0
15410,887,714,1
15427,888,277,1
15574,1082,56,1
15574,1082,56,1
15635,271,495,0
15763,938,145,1
15909,905,388,1
15912,1173,249,0
15919,786,573,1
15956,22,648,1
15956,514,286,1
16008,978,123,1
16008,978,123,1
16113,267,499,1
16176,266,500,1
16185,359,193,1
16269,1258,506,1
16277,791,206,1
16281,764,461,1
16281,764,461,1
16302,1050,265,1
16340,566,188,1
16407,1255,142,1
16407,1255,142,1
16560,267,490,1
16696,550,411,1
16705,493,714,1
16725,265,496,1
16768,266,492,1
16846,474,387,1
16867,731,636,1
16882,84,443,1
16932,275,496,1
17017,539,184,1
17022,267,502,1
17023,978,540,1
17089,626,519,1
17211,196,50,1
17236,895,46,1
17247,192,75,1
17250,379,441,1
17318,277,596,1
17318,277,596,1
17365,14,473,1
17384,1251,607,1
17435,797,118,1
17526,357,159,1
17576,101,55,1
17641,699,86,1
17679,1209,594,1
17706,1060,329,1
17724,763,247,1
17731,271,498,1
17733,1089,609,1
